"","Avg_Tumor","Avg_Normal","SD_Tumor","SD_Normal","p.val_Tumor_Normal"
"LNPEP",199.128365732395,254.994628804858,176.1734437308,171.830428668774,0.0210218414642814
"LNX1",845.173544010038,633.125217379733,491.905709120682,325.644736223405,2.39579461719548e-05
"LNX2",559.265772611104,511.584824629264,303.158497940548,286.568817241094,0.232839997189721
"LOC100009676",145.57544651859,149.572797669446,64.3396851183726,78.5164642213411,0.707525748676621
"LOC100101266",13.0324037039481,15.7407024387564,8.60307223798148,10.1391082605616,0.0527129194468584
"LOC100101938",0.102672261291757,0.0861177727741212,0.307925246671194,0.261195361952932,0.652498156744497
"LOC100124692",0.204307577538441,0.435439603393165,0.411549459848857,0.74048332251528,0.0216350070610418
"LOC100125556",56.8502689694607,75.6556735664241,34.4554438266466,43.6981515000595,0.00214890000969453
"LOC100126784",107.810953121207,20.1174579115581,99.4218773939279,16.1233475551328,5.74036138901487e-57
"LOC100127888",0.446703988188704,0.255644075337682,0.808548518318304,0.403692880788384,0.0032075547142886
"LOC100128023",0.224844053819904,0.409232093613872,0.424936679404625,0.537889249541549,0.0133074662256237
"LOC100128076",1.0481155380795,0.065855238369234,3.28045965205203,0.170728526476714,5.19045561461465e-11
"LOC100128164",5.89436898407919,11.0778393322337,5.84714089535323,7.60302614818408,3.47318594925871e-06
"LOC100128191",41.3506588501078,45.7453307057208,25.2435641950096,21.1244963195873,0.142623958625726
"LOC100128239",7.03913450534208,11.3066069155243,6.94811740832556,7.87573969486641,0.000164222092671546
"LOC100128288",57.0131834020871,45.7022139497726,51.3766378701229,25.6525067214557,0.00592119987869862
"LOC100128292",16.7099167554869,13.5544994313618,10.4682972176847,8.60270614198753,0.0109894496584168
"LOC100128542",0.40118529038883,0.384012407241523,0.535333802732103,0.509420523677697,0.807979892850306
"LOC100128554",0.701163588540971,0.141093471461816,1.35001369692882,0.341002199713611,4.62667469268791e-13
"LOC100128573",1.11989828623426,1.43702922379981,1.1373459592247,1.27570421962241,0.0719074802354514
"LOC100128640",48.8512552180881,60.5593703003818,29.8960658151539,37.3822016083773,0.0232982949459433
"LOC100128675",5.1481984955495,2.0726352996976,7.6172717320597,1.98799870366843,3.26325412256853e-12
"LOC100128788",12.7500666885151,12.5811778871768,12.4784023151062,6.6812914565448,0.870004429945522
"LOC100128811",0.62610146744978,0.404449461790814,2.3597977668009,0.698705479192112,0.110243737424424
"LOC100128822",205.220533432224,209.39212311127,121.123460583558,103.274972798814,0.773887733758589
"LOC100128842",23.2322399042748,22.8910492933806,18.7638432828191,16.9569645194237,0.885335097554545
"LOC100128977",0.0464428923363843,0,0.249248242905765,0,2.88625705306787e-05
"LOC100129034",760.241150184386,988.49522977209,500.551528550555,559.726502728161,0.00377958662344996
"LOC100129055",0.64981340868376,0.182767609201831,0.866190702416575,0.235336487583108,5.75598520853439e-19
"LOC100129066",1.84216668343206,2.3455678986382,3.17714729058654,1.82273213095508,0.0706883695169262
"LOC100129387",128.408951179634,148.394279917691,104.179418696796,76.886731073031,0.0731888451732503
"LOC100129534",91.9775773438822,97.0432304784858,56.6767139578829,42.2422306267155,0.404179788939144
"LOC100129550",241.743981502336,305.079265333783,134.620792415374,182.276119046798,0.0118487181654055
"LOC100129637",218.927412467554,216.487571173614,127.013901209506,105.47861494852,0.869769569063319
"LOC100129716",10.3889937972703,14.7966969726442,7.47189475468528,7.35785296997647,4.37156512724522e-05
"LOC100129726",7.11252118708219,15.8754256111985,14.7335420636054,14.4958304765472,3.79065098773492e-05
"LOC100129935",0.552732428073777,0.0267340455024486,4.09457899066687,0.116799372256987,0.00389752134983132
"LOC100130015",53.5561971694109,30.0801291924642,38.1262210940956,18.3327686074949,5.55953893800499e-13
"LOC100130093",180.200948001764,174.355574129546,113.961309323004,111.394424046183,0.704464365351566
"LOC100130148",0.460952618251107,0.088908567458559,2.38651688134664,0.190699252207304,0.000632670038076393
"LOC100130238",42.8261928043273,160.317716711784,74.4155373242676,98.0466831886363,6.25656996023742e-13
"LOC100130264",0.0217879650993776,0.0712523174488099,0.116489256321597,0.187148259205759,0.0513246400890027
"LOC100130274",0.104763009898092,0.0989547330522784,0.304375181232463,0.285850884873349,0.883691419530232
"LOC100130331",6.51963985618893,5.44536374178453,7.2849765862108,5.40417010755673,0.168586977585092
"LOC100130386",0.532602231398263,0.618158306407717,1.1628526510033,0.713238404983164,0.42200231027611
"LOC100130522",9.96178975355816,16.7832168804594,8.78768627153777,10.7384527323733,1.32526003408404e-05
"LOC100130557",60.3813188197931,69.189590341882,61.3948080038865,41.5324041013516,0.148787654389216
"LOC100130581",90.8859677819104,92.2960473691468,53.3461004909754,50.3460873015536,0.84011645101128
"LOC100130691",13.1227653464652,16.6944962807627,7.16798084245004,9.77240313845287,0.0082556191040014
"LOC100130776",59.1254353040759,38.2886973788234,36.3011890266617,17.6279137991244,1.38706956079687e-11
